sum(lo_revenue)	d_year	p_brand1
65744559138	1992	MFGR#2225
66159498618	1993	MFGR#2225
66008726728	1994	MFGR#2225
64701224302	1995	MFGR#2225
65788692665	1996	MFGR#2225
66071861556	1997	MFGR#2225
38328423898	1998	MFGR#2225
65423264312	1992	MFGR#2222
67805601887	1993	MFGR#2222
66601352347	1994	MFGR#2222
65566595895	1995	MFGR#2222
67121666299	1996	MFGR#2222
65623735495	1997	MFGR#2222
38969579899	1998	MFGR#2222
67411226147	1992	MFGR#2227
68470823598	1993	MFGR#2227
67912269895	1994	MFGR#2227
67898964035	1995	MFGR#2227
67904649725	1996	MFGR#2227
67632192229	1997	MFGR#2227
39907545239	1998	MFGR#2227
64047191934	1992	MFGR#2224
64222070981	1993	MFGR#2224
64508853727	1994	MFGR#2224
63741007905	1995	MFGR#2224
64410797788	1996	MFGR#2224
64127451073	1997	MFGR#2224
38020572188	1998	MFGR#2224
66936772687	1992	MFGR#2223
67208412655	1993	MFGR#2223
67149651412	1994	MFGR#2223
65980940491	1995	MFGR#2223
66485923436	1996	MFGR#2223
66608624781	1997	MFGR#2223
38767988496	1998	MFGR#2223
66993045668	1992	MFGR#2226
68387963965	1993	MFGR#2226
66358870053	1994	MFGR#2226
67771832811	1995	MFGR#2226
68193662121	1996	MFGR#2226
68517706654	1997	MFGR#2226
38705033272	1998	MFGR#2226
66450349438	1992	MFGR#2221
66819757447	1993	MFGR#2221
66201929022	1994	MFGR#2221
65269818712	1995	MFGR#2221
67169465617	1996	MFGR#2221
66839293911	1997	MFGR#2221
39646973602	1998	MFGR#2221
69390885970	1992	MFGR#2228
70176992353	1993	MFGR#2228
69071503806	1994	MFGR#2228
70977692364	1995	MFGR#2228
69705348599	1996	MFGR#2228
70029520291	1997	MFGR#2228
40654201840	1998	MFGR#2228
