c_nation	s_nation	d_year	sum(lo_revenue)
CHINA	CHINA	1992	526806943557
CHINA	CHINA	1993	530432019811
CHINA	CHINA	1994	526284094644
CHINA	CHINA	1995	527595630706
CHINA	CHINA	1996	528641895700
CHINA	CHINA	1997	525562838002
CHINA	INDIA	1992	533253090504
CHINA	INDIA	1993	531567029261
CHINA	INDIA	1994	533236548312
CHINA	INDIA	1995	533855451301
CHINA	INDIA	1996	535184674105
CHINA	INDIA	1997	533891602431
CHINA	INDONESIA	1992	527733535586
CHINA	INDONESIA	1993	526139607689
CHINA	INDONESIA	1994	526125701759
CHINA	INDONESIA	1995	531831121080
CHINA	INDONESIA	1996	528735669499
CHINA	INDONESIA	1997	529479888387
CHINA	VIETNAM	1992	528557288833
CHINA	VIETNAM	1993	523739339179
CHINA	VIETNAM	1994	525734859432
CHINA	VIETNAM	1995	524215308185
CHINA	VIETNAM	1996	527961920549
CHINA	VIETNAM	1997	525867745074
CHINA	JAPAN	1992	532372989273
CHINA	JAPAN	1993	529023720900
CHINA	JAPAN	1994	529221324202
CHINA	JAPAN	1995	531439272950
CHINA	JAPAN	1996	533627578915
CHINA	JAPAN	1997	532524910737
INDIA	CHINA	1992	531728320015
INDIA	CHINA	1993	530510558657
INDIA	CHINA	1994	527774320885
INDIA	CHINA	1995	532317309123
INDIA	CHINA	1996	534772741646
INDIA	CHINA	1997	531789271807
INDIA	INDIA	1992	537778456208
INDIA	INDIA	1993	539039464490
INDIA	INDIA	1994	536969630853
INDIA	INDIA	1995	539413031262
INDIA	INDIA	1996	536892292122
INDIA	INDIA	1997	536223386162
INDIA	INDONESIA	1992	534847378548
INDIA	INDONESIA	1993	532078534237
INDIA	INDONESIA	1994	529811491387
INDIA	INDONESIA	1995	535825568732
INDIA	INDONESIA	1996	535230215888
INDIA	INDONESIA	1997	535085820509
INDIA	VIETNAM	1992	533030783325
INDIA	VIETNAM	1993	531016990639
INDIA	VIETNAM	1994	527805777310
INDIA	VIETNAM	1995	530580044363
INDIA	VIETNAM	1996	532225965603
INDIA	VIETNAM	1997	531165245784
INDIA	JAPAN	1992	535663357352
INDIA	JAPAN	1993	533717213685
INDIA	JAPAN	1994	531784447068
INDIA	JAPAN	1995	534824699459
INDIA	JAPAN	1996	538317786258
INDIA	JAPAN	1997	535121576554
JAPAN	CHINA	1992	527348804565
JAPAN	CHINA	1993	527089499297
JAPAN	CHINA	1994	526374229035
JAPAN	CHINA	1995	525265509787
JAPAN	CHINA	1996	528536005619
JAPAN	CHINA	1997	526303212379
JAPAN	INDIA	1992	533813019357
JAPAN	INDIA	1993	533797358514
JAPAN	INDIA	1994	534954389901
JAPAN	INDIA	1995	535260048409
JAPAN	INDIA	1996	533884408611
JAPAN	INDIA	1997	532559230344
JAPAN	INDONESIA	1992	531928854434
JAPAN	INDONESIA	1993	529735376937
JAPAN	INDONESIA	1994	529110277642
JAPAN	INDONESIA	1995	526646039360
JAPAN	INDONESIA	1996	529061794868
JAPAN	INDONESIA	1997	530668078118
JAPAN	VIETNAM	1992	526923893759
JAPAN	VIETNAM	1993	523958713146
JAPAN	VIETNAM	1994	527834447487
JAPAN	VIETNAM	1995	528386970384
JAPAN	VIETNAM	1996	526612964382
JAPAN	VIETNAM	1997	525495763677
JAPAN	JAPAN	1992	531769031379
JAPAN	JAPAN	1993	527851229932
JAPAN	JAPAN	1994	532684252948
JAPAN	JAPAN	1995	531096454639
JAPAN	JAPAN	1996	531006336362
JAPAN	JAPAN	1997	531373061388
VIETNAM	CHINA	1992	529822301197
VIETNAM	CHINA	1993	528056350930
VIETNAM	CHINA	1994	528523400079
VIETNAM	CHINA	1995	531973952851
VIETNAM	CHINA	1996	529282453146
VIETNAM	CHINA	1997	529209006663
VIETNAM	INDIA	1992	536483529614
VIETNAM	INDIA	1993	532409076379
VIETNAM	INDIA	1994	532945950352
VIETNAM	INDIA	1995	535386934445
VIETNAM	INDIA	1996	534759591131
VIETNAM	INDIA	1997	535724572689
VIETNAM	INDONESIA	1992	532558111384
VIETNAM	INDONESIA	1993	533017632790
VIETNAM	INDONESIA	1994	531134051515
VIETNAM	INDONESIA	1995	529064947792
VIETNAM	INDONESIA	1996	533588687296
VIETNAM	INDONESIA	1997	534984337473
VIETNAM	VIETNAM	1992	529594729005
VIETNAM	VIETNAM	1993	528597743956
VIETNAM	VIETNAM	1994	527860158744
VIETNAM	VIETNAM	1995	527703737285
VIETNAM	VIETNAM	1996	529865629407
VIETNAM	VIETNAM	1997	529987513468
VIETNAM	JAPAN	1992	532551772781
VIETNAM	JAPAN	1993	532230134465
VIETNAM	JAPAN	1994	532632650630
VIETNAM	JAPAN	1995	533694440455
VIETNAM	JAPAN	1996	530059083448
VIETNAM	JAPAN	1997	530023321622
INDONESIA	CHINA	1992	532166701570
INDONESIA	CHINA	1993	530257630248
INDONESIA	CHINA	1994	530780211494
INDONESIA	CHINA	1995	530171995018
INDONESIA	CHINA	1996	532972539145
INDONESIA	CHINA	1997	531730384833
INDONESIA	INDIA	1992	536684093041
INDONESIA	INDIA	1993	536535620799
INDONESIA	INDIA	1994	539962980074
INDONESIA	INDIA	1995	537098888915
INDONESIA	INDIA	1996	536268187560
INDONESIA	INDIA	1997	537992727562
INDONESIA	INDONESIA	1992	533688231412
INDONESIA	INDONESIA	1993	534205640223
INDONESIA	INDONESIA	1994	536433046501
INDONESIA	INDONESIA	1995	530036235720
INDONESIA	INDONESIA	1996	534214382712
INDONESIA	INDONESIA	1997	530462348184
INDONESIA	VIETNAM	1992	531277781147
INDONESIA	VIETNAM	1993	529841189193
INDONESIA	VIETNAM	1994	530840614180
INDONESIA	VIETNAM	1995	533463366986
INDONESIA	VIETNAM	1996	534519601608
INDONESIA	VIETNAM	1997	528663138160
INDONESIA	JAPAN	1992	535044240518
INDONESIA	JAPAN	1993	533888479157
INDONESIA	JAPAN	1994	536635096761
