c_city	s_city	d_year	sum(lo_revenue)
	CHINA	1992	5059433431
	CHINA	1993	5308968096
	CHINA	1994	5096529005
	CHINA	1995	5234798714
	CHINA	1996	5124755880
	CHINA	1997	5152972207
	ALGERIA	1992	5297940572
	ALGERIA	1993	5312248925
	ALGERIA	1994	5042370687
	ALGERIA	1995	5322752617
	ALGERIA	1996	5718094060
	ALGERIA	1997	5291002253
		1992	5093454963
		1993	5307497664
		1994	5273934368
		1995	5491484637
		1996	5258050301
		1997	5379338609
		1992	5334937908
		1993	5024200957
		1994	5007291788
		1995	5342009670
		1996	5059615762
		1997	5162109303
		1992	5405731150
		1993	5761084918
		1994	5412126700
		1995	5366017605
		1996	5535227453
		1997	5255552380
		1992	5423687482
		1993	5223416662
		1994	5377762284
		1995	5245347218
		1996	5174992430
		1997	5382242159
		1992	5652630617
		1993	5744727367
		1994	5255117701
		1995	5652725119
		1996	5713816390
		1997	5788903340
		1992	5477233869
		1993	5468724609
		1994	5223913114
		1995	5272364533
		1996	5380986387
		1997	5678356585
		1992	5489901055
		1993	5002797662
		1994	5150173974
		1995	5194724754
		1996	5336071731
		1997	5321040517
		1992	5221832501
		1993	5384183174
		1994	5500281082
		1995	5648995352
		1996	5508466003
		1997	5489615192
	CHINA	1992	5156237645
	CHINA	1993	5267669929
	CHINA	1994	4765969067
	CHINA	1995	5079205357
	CHINA	1996	4876792200
	CHINA	1997	5248390576
	ALGERIA	1992	5170643749
	ALGERIA	1993	5691158730
	ALGERIA	1994	5405682464
	ALGERIA	1995	5008774250
	ALGERIA	1996	5138560133
	ALGERIA	1997	5058260743
		1992	5052855434
		1993	5208288938
		1994	5192012819
		1995	5230057407
		1996	5500210879
		1997	5350967805
		1992	5089910811
		1993	5068895155
		1994	5278195714
		1995	5106621050
		1996	5030173635
		1997	5215439054
		1992	5134415652
		1993	5729722871
		1994	5378011949
		1995	5592333586
		1996	5682795182
		1997	5520833162
		1992	5241054918
		1993	5521101206
		1994	5295177603
		1995	5325217809
		1996	5702629139
		1997	5513143386
		1992	5618014301
		1993	5366229453
		1994	5363495996
		1995	5615149458
		1996	5444169924
		1997	5552424058
		1992	5116191111
		1993	5461638325
		1994	5354924457
		1995	5480918599
		1996	5525685962
		1997	5282441248
		1992	5601463754
		1993	5482829638
		1994	5380625150
		1995	5232811632
		1996	5338809162
		1997	5273697842
		1992	5323492856
		1993	5285710685
		1994	5411869126
		1995	5653782025
		1996	5398116588
		1997	5221419060
	CHINA	1992	5053811544
	CHINA	1993	5070831067
	CHINA	1994	5068220579
	CHINA	1995	4920144019
	CHINA	1996	4942094753
	CHINA	1997	5155447437
	ALGERIA	1992	5495474282
	ALGERIA	1993	5579837229
	ALGERIA	1994	5531047881
	ALGERIA	1995	5196997271
	ALGERIA	1996	5608464516
	ALGERIA	1997	4955737892
		1992	5182930676
		1993	5610797579
		1994	5428123242
		1995	5268269598
		1996	5385158076
		1997	5296167365
		1992	4926181181
		1993	5268279014
		1994	5290106433
		1995	5140963342
		1996	5057362976
		1997	4866105481
		1992	5416464331
		1993	5407623795
		1994	5407287110
		1995	5629590441
		1996	5750365108
		1997	5640725720
		1992	5438253216
		1993	5408290435
		1994	5103582129
		1995	5446241915
		1996	5462014120
		1997	5366926557
		1992	5571012531
		1993	5713019325
		1994	5723525177
		1995	5592391591
		1996	5753716574
		1997	5458237595
		1992	5507533388
		1993	5016322150
		1994	5261556173
		1995	5262609862
		1996	5160869342
		1997	5563811332
		1992	5554705520
		1993	5395721644
		1994	5297221716
		1995	5340181707
		1996	5335523577
		1997	5525921506
		1992	5362649678
		1993	5633663339
		1994	5621913416
		1995	5497349989
		1996	5515467165
		1997	5563999187
	CHINA	1992	5084910448
	CHINA	1993	5042856672
	CHINA	1994	4893822949
	CHINA	1995	4974788083
	CHINA	1996	5287174901
	CHINA	1997	5070467411
	ALGERIA	1992	5356889415
	ALGERIA	1993	5237865418
	ALGERIA	1994	5419136291
	ALGERIA	1995	5057727221
	ALGERIA	1996	5089495966
	ALGERIA	1997	5630990370
		1992	4999458899
		1993	5265868449
		1994	5123546610
		1995	5225011705
		1996	5233776420
		1997	5236600708
		1992	5018133394
		1993	5074523392
		1994	4888666806
		1995	4854754335
		1996	4804429213
		1997	5165550100
		1992	5504069088
		1993	5219148443
		1994	5324800936
		1995	5631191429
		1996	5588859299
		1997	5260235102
		1992	5371941327
		1993	5346962068
		1994	5388085671
		1995	5428110641
