d_year	c_nation	profit
1992	ARGENTINA	1041983042066
1993	ARGENTINA	1034515265588
1994	ARGENTINA	1035059347804
1995	ARGENTINA	1036878482604
1996	ARGENTINA	1041240509801
1997	ARGENTINA	1036752881505
1998	ARGENTINA	607618915600
1992	CANADA	1032094614252
1993	CANADA	1030633924190
1994	CANADA	1028314868119
1995	CANADA	1031488804141
1996	CANADA	1035089775664
1997	CANADA	1025775840777
1998	CANADA	601462066533
1992	PERU	1037331491440
1993	PERU	1032888811548
1994	PERU	1025406236588
1995	PERU	1034460048487
1996	PERU	1029765730730
1997	PERU	1031380143878
1998	PERU	603980044827
1992	BRAZIL	1031193572794
1993	BRAZIL	1028249774691
1994	BRAZIL	1029788284729
1995	BRAZIL	1032846705883
1996	BRAZIL	1030467525021
1997	BRAZIL	1036482571346
1998	BRAZIL	603999739074
1992	UNITED STATES	1031593944407
1993	UNITED STATES	1030241613033
1994	UNITED STATES	1035441439980
1995	UNITED STATES	1034988860577
1996	UNITED STATES	1032384751840
1997	UNITED STATES	1030570488847
1998	UNITED STATES	605069471323
